Actual Demand,Forecast Demand
7474.6,8129.4476397566805
7486.48,8137.756584305764
7556.87,8092.0564333556895
7648.53,8123.204460183502
7770.57,8148.914200593949
7831.52,8237.962914414167
8078.720000000001,8349.777103894354
8230.43,8532.458216430427
8552.84,8990.613533578517
8873.16,9276.227288907528
8992.71,9295.528473835111
8788.89,9278.52152118063
8596.88,8958.786796369912
8448.95,8881.308660647035
8323.5,8688.278648699046
8183.09,8488.750223837496
7921.56,8307.192329185129
7960.7,8331.067639707207
7756.11,7884.987153791488
7760.86,7809.058580783069
7703.62,7833.218758479059
7508.91,7630.347446009577
7397.51,7413.606065554023
7261.36,7300.610824418247
6983.57,7146.927851884067
6692.79,6732.7649165377625
6393.98,6519.055268438101
6325.82,6355.867960747541
6197.92,6328.0011640353205
6177.55,6334.157353968144
6267.47,6425.208741376759
6598.02,6636.795268693686
6895.09,6832.017228392601
7449.58,7214.214816663803
7888.31,7921.7809038713585
7954.88,8221.504665645003
8100.78,8135.389701344014
8102.81,8225.833117200256
7946.23,8358.34414957416
7852.69,8272.55898116243
7785.4,8357.679778145075
7789.97,8302.555112203121
7762.33,8339.941538953544
7688.1,8167.71352221179
7665.98,8156.374279201985
7634.48,8185.642947426081
7511.63,8128.053893650771
7571.75,8085.531254398943
7506.55,8117.089375245572
7482.07,8120.50204575181
7538.63,8094.368828300953
7510.96,8122.731274777175
7623.4,8128.1007342263465
7731.42,8150.973274059058
7957.57,8253.527368526937
8139.33,8491.640956501604
8566.72,8941.976765318872
8908.43,9205.53625699258
9110.17,9206.072533786417
8970.69,9145.55546607256
8821.56,9033.816795071365
8696.29,8893.38396984446
8500.41,8662.215214146496
8240.89,8544.61382375741
8068.0199999999995,8072.269635930301
8071.15,8072.5583268246655
7846.73,7878.633564290167
7793.28,7817.636141694129
7756.05,7824.930366427422
7618.03,7942.684705634714
7467.0,7541.649558541119
7340.42,7319.297346282661
7126.38,7138.456877180696
6814.97,6714.256197674514
6585.33,6506.209479568959
6385.08,6342.944263574124
6263.77,6319.631517924011
6291.64,6322.735900968552
6422.37,6428.025867422104
6682.3,6647.997335732162
6926.97,6854.197674822927
7534.42,7213.7086516685495
7899.57,7723.670601333619
7983.28,8084.062945744157
8069.0,8371.052284506917
8061.92,8404.976332385184
7934.05,8518.768341270805
7798.87,8363.632354963662
7735.59,8468.831508056403
7638.13,8363.553012764216
7604.89,8353.451699251771
7519.02,8188.047111662269
7475.09,8177.286206371308
7426.26,8266.81192931831
7396.14,8128.721132870198
7391.58,8098.074013422013
7407.83,8127.7881450791365
7385.92,8125.455675601483
